tosca_01_1,tosca_01_2,tosca_01_3,tosca_01_4,tosca_02_1,tosca_02_2,tosca_02_3,tosca_02_4,tosca_03_1,tosca_03_2,tosca_03_3,tosca_03_4,tosca_04_1,tosca_04_2,tosca_04_3,tosca_04_4,tosca_05_1,tosca_05_2,tosca_05_3,tosca_05_4,tosca_06_1,tosca_06_2,tosca_06_3,tosca_06_4,tosca_07_1,tosca_07_2,tosca_07_3,tosca_07_4,tosca_08_1,tosca_08_2,tosca_08_3,tosca_08_4,tosca_09_1,tosca_09_2,tosca_09_3,tosca_09_4,tosca_10_1,tosca_10_2,tosca_10_3,tosca_10_4,tosca_11_1,tosca_11_2,tosca_11_3,tosca_11_4,gasp_1,gasp_2,gasp_3,gasp_4,gasp_5,gasp_6,gasp_7,gasp_8,gasp_9,gasp_10,gasp_11,gasp_12,gasp_13,gasp_14,gasp_15,gasp_16,bf_3,bf_8,bf_13,bf_18,bf_23,bf_28,bf_33,bf_38,bf_43,bf_48,bf_53,bf_58,sex,gender,age,ethnicity,WC,consc,tos_gu,tos_sh,gu_nbe,gu_rep,sh_nse,sh_wth,gutot,shtot
5,2,5,4,4,2,2,4,4,2,4,2,2,2,4,4,2,4,4,5,2,4,4,4,2,1,4,5,4,2,2,4,2,4,4,4,2,4,4,2,4,2,2,4,6,6,5,6,5,5,2,3,5,4,3,2,4,5,5,5,2,2,4,4,4,4,4,4,4,3,4,4,Female,Female,21,Asian or Asian American,27,3.416666667,4,3.272727273,21,19,18,13,40,31
5,1,5,1,4,2,1,4,5,4,4,5,4,5,3,2,1,3,5,5,4,3,4,5,4,1,5,5,4,1,2,3,3,5,5,5,5,1,5,1,2,4,1,1,2,1,5,2,1,6,3,1,5,7,3,1,5,6,6,2,5,5,4,3,5,5,2,3,4,2,4,4,Male,Male,20,Asian or Asian American,24,2.5,4.272727273,3.272727273,15,11,23,7,26,30
3,3,5,2,4,1,2,3,4,3,4,2,3,3,1,4,2,1,3,5,1,5,1,5,2,1,5,5,1,5,2,5,2,4,5,2,5,1,5,1,1,5,2,1,4,7,5,3,3,6,4,2,7,5,7,3,7,5,7,7,4,4,3,3,5,3,4,3,3,1,3,4,Female,Female,20,Asian or Asian American,22,2.833333333,4.727272727,3.363636364,23,24,23,12,47,35
5,3,5,2,4,3,2,5,5,4,3,4,3,4,4,3,1,1,5,5,1,1,5,5,3,1,5,4,3,3,1,4,2,5,5,4,5,1,5,1,1,5,3,1,1,3,5,6,3,7,5,5,2,1,5,1,6,7,6,5,5,4,1,1,5,5,1,1,3,4,1,5,Female,Female,21,Asian or Asian American,52,1.333333333,4.454545455,3.545454545,15,17,19,17,32,36
5,3,5,1,5,1,1,5,5,1,3,2,1,1,4,3,3,1,5,5,1,4,4,3,1,1,5,5,1,4,1,1,2,5,5,2,5,1,1,1,1,5,3,1,6,6,7,2,4,7,7,2,6,3,6,2,6,2,2,7,1,2,4,5,1,3,4,5,4,1,5,4,Female,Female,20,Hispanic or Latino,62,4.25,3.727272727,4,21,18,23,13,39,36
5,3,5,2,5,2,2,4,5,3,4,3,3,3,2,5,2,1,2,5,3,5,3,5,2,2,5,4,3,4,2,5,3,4,5,2,5,2,5,1,3,5,3,1,6,7,6,5,5,7,4,3,5,5,7,4,7,5,5,5,3,2,2,4,3,4,4,4,4,4,4,3,Female,Female,19,Asian or Asian American,36,3.25,4.909090909,3.727272727,21,24,25,16,45,41
5,3,4,5,5,5,1,5,5,5,5,1,1,1,1,5,1,1,5,5,1,5,5,5,1,1,5,5,1,5,1,5,1,5,5,1,5,1,5,1,1,5,5,3,7,7,7,3,1,7,3,1,7,7,7,7,7,7,7,7,4,3,5,4,3,4,4,3,3,1,5,4,Female,Female,19,Hispanic or Latino,116,3.416666667,4.909090909,4.272727273,28,22,28,14,50,42
4,2,4,2,4,2,3,2,2,1,5,3,2,2,2,4,2,2,2,4,3,2,4,3,1,2,2,3,3,3,2,3,3,2,4,3,2,1,4,2,2,5,2,3,2,6,5,2,5,4,3,3,6,5,6,3,5,5,6,5,2,2,4,4,3,3,4,2,4,2,4,2,Male,Male,22,Asian or Asian American,16,3.666666667,3.818181818,2.363636364,18,23,19,11,41,30
5,3,5,3,5,1,2,4,5,3,5,5,1,5,1,5,1,1,5,5,1,5,3,5,5,1,5,3,5,1,1,5,3,4,5,5,5,1,5,1,1,5,4,1,4,6,6,1,7,7,1,1,6,6,7,2,7,7,6,4,4,5,4,2,5,5,3,3,4,1,3,5,Male,Male,22,Asian or Asian American,84,2.5,5,3.181818182,21,26,26,5,47,31
4,1,5,2,3,1,3,4,3,3,2,4,1,1,1,5,1,1,4,5,1,4,3,5,4,2,5,4,3,1,1,4,3,3,4,4,2,1,4,1,1,5,1,1,3,7,5,1,5,6,5,4,7,6,7,2,3,3,5,3,3,4,4,3,4,4,3,4,4,1,5,3,Female,Female,20,Asian or Asian American,73,3.333333333,4.272727273,2.272727273,16,24,20,12,40,32
