MoAimportSUM,MoAachieveSUM,IDEA8_exp,IDEA8_negativity,IDEA8_identity,IDEA8_between,IDEA8All,PSS_Family,PSS_Friends,PSS_Special,SWBscale,MindfulnessScale,BelongingScale,EfficacyScale,Exploitiveness,NPItot,Transgressions,Stress,PosDisabilityIdentity,SocMedia_maintain,SocMedia_newconnect,SocMedia_information,RaceDichotomized,EducationDichotomized,president,usdream_1,usdream_2,PhysicalDis,SensoryDis,LearningDis,PsychiatricDis,ChronicHealthDis,OtherDis,OtherDisSpecify,marriage1_1,marriage1_2,marriage1_3,marriage1_4,marriage2,marriage3,marriage4,marriage5,sex,age,sibling,armedservices,yearsservices,income,USresidency,USresidencyyears,EA_Status,Election_date,Political_views,Party_affiliation,President_coded,DisabilityIdentity,RaceCoded,EducationCoded
60,34,2.5,4,3.5,2.5,3.125,5,1,3.5,1.166666667,3.6,4.1,2,3,1,1,4.4,32,1.8,3.5,5,0,0,Hillary Clinton,3,2,2,1,2,1,2,2,,55,,40,5,3,9,1,1,2,,"2,4,6",3,,1,1,18,0,1,1,3,Clinton,1,1,1
54,39,4,3.5,3.5,3,3.5,6.25,5.25,6.25,2.666666667,2.8,3.5,2.6,1.666666667,1,2.25,3.8,22,3.4,3.75,5,0,0,"Bernie, but I guess I'll vote Clinton",2,2,2,2,2,2,2,1,I have anxiety/depression/avpd,5,10,65,20,2,26,3,2,3,,3,3,,3,1,19,0,1,2,3,Sanders-Clinton,2,1,1
53,33,3,4,3,3,3.25,4.5,5.75,4.25,3.833333333,2.6,3.7,1.9,2,4,1,4,33,3.4,4,5,0,0,Supported Bernie but now Hillary I guess,2,1,2,2,1,1,2,2,,0,0,0,0,1,25,2,1,3,,"2,4",3,,1,1,18,0,1,1,3,Sanders-Clinton,2,1,1
61,43,3.5,3.5,2.5,4,3.375,1.75,6,4,2.5,2,4.2,2.2,1,0,4.25,4.8,18,3,3.25,4,0,0,"Hillary, unfortunately",1,1,2,2,2,1,2,2,,10,50,25,15,2,9,1,1,3,,"2,3,6,7",3,,2,1,21,0,1,,4,Clinton,2,1,1
55,30,2,4,3.5,3.5,3.25,1,2,2.5,1,1.333333333,4.6,1.1,1,2,2.75,5,20,2.2,1,1,0,0,clinton,2,1,1,1,1,1,1,,,5,5,35,55,1,9,1,1,3,,"2,4,6",3,,3,2,,0,1,2,1,Clinton,1,1,1
71,37,4,3,3,3.5,3.375,2.5,7,6,4.333333333,4,3,2.9,4,3,1.25,3,,3.2,4.25,3,1,1,I did not support either candidate.,2,3,2,2,2,2,2,2,,30,40,20,10,4,9,4,1,2,19,"2,3,4,5,6,7",3,,7,1,19,1,2,4,4,neither,2,4,1
67,38,4,3,3,3.5,3.375,4.75,5,6.75,5.5,2.666666667,3.7,3.4,1,1,1.25,2.5,,2.4,3.25,3,0,1,not voting,2,3,2,2,2,2,2,2,,45,25,15,15,4,9,2,2,2,,"2,3,6",3,,5,1,19,0,1,3,3,notvote,2,1,1
78,41,4,4,4,4,4,7,3,3,5.166666667,4.333333333,3.5,3.5,3,2,5.75,4,,3.8,4,3,0,0,Donald Trump,4,4,2,2,2,2,2,2,,25,25,25,25,3,9,2,1,2,,4,1,,5,1,19,0,1,,7,Trump,2,1,1
58,42,3.5,4,4,3.5,3.75,4.5,5,6,5.166666667,3.466666667,3.6,3,4,7,1.5,3.2,31,2.8,3,2.5,0,0,None,2,4,2,2,2,1,2,,,40,0,30,30,5,9,2,2,2,,7,3,,3,1,22,0,1,4,3,neither,1,1,1
56,44,3,4,4,2,3.25,3.75,2.25,2.25,2.333333333,2.733333333,3.7,3.7,1,3,3.5,3.1,,1.4,2.5,2.5,,0,Trump,4,4,2,2,2,2,2,2,,0,0,80,20,2,14,1,3,2,21,"2,3,4,5,6,7",3,,3,1,21,1,1,4,5,Trump,2,7,1
