"X","participantID","Consent","CCC_students_1","CCC_students_2","CCC_students_3","CCC_students_4","CCC_Profs_1","CCC_Profs_2","CCC_Profs_3","CCC_Profs_4","CCC_Courses_2","CCC_Courses_3","CCC_Courses_4","CCC_Courses_5","CCC_Courses_7","CCC_ExtraCur_1","CCC_ExtraCur_2","CCC_ExtraCur_3","CCC_ExtraCur_5","CCC_ExtraCur_6","CCC_PersExp_1","CCC_PersExp_3","CCC_PersExp_4","CCC_PersExp_5","CCC_PersExp_7","Age","Gender","Gender.txt","International","Country.Origin","Race.Ethnicity","RE.Rep","Christian","Religion","Rel_Identity","CCC_students","CCC_profs","CCC_Courses_2r"
"CCC",13,4,4,4,4,4,3,3,2,3,3,3,3,2,3,5,NA,5,5,5,2,3,2,2,2,21,"M","",1,"","3","",1,"Orthodox",100,4,2.75,3
"CCC",14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,22,"M","",1,"","3","",1,"Ethiopian orthodox",94,4,4,2
"CCC",15,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4,5,18,"M","",1,"","2","",2,"Catholic",37,3.75,4,2
"CCC",16,4,5,5,4,4,5,5,4,4,5,5,4,5,5,4,4,5,5,3,3,5,5,5,5,19,"M","",1,"","4","",1,"?",12,4.5,4.5,1
"execr",17,4,5,4,4,3,5,5,5,5,5,5,5,3,4,5,4,5,4,5,5,5,5,5,5,20,"F","",1,"","7","",1,"Catholic ",36,4,5,1
"CCC",18,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,19,"M","",1,"","2","",1,"christian",45,3.5,4,2
"Gen",19,4,5,4,5,4,4,3,4,4,5,5,5,4,4,4,4,4,4,3,5,5,5,5,4,19,"F","",1,"","2","",2,"Catholic",78,4.5,3.75,1
"execr",20,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,4,3,4,4,4,4,4,4,4,19,"F","Woman",1,"","7","",1,"Christian",52,3.75,4,2
"Gen",21,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,19,"F","",1,"","4","",2,"Non religious but spiritual ",100,4.25,5,1
"execr",22,4,3,4,5,5,4,5,5,5,4,4,3,3,3,5,3,4,4,4,4,5,4,3,4,23,"F","Women ",1,"","1","",1,"Spiritual ",22,4.25,4.75,2
"Gen",23,4,4,4,4,4,3,3,4,3,2,3,4,2,2,4,4,4,4,4,4,3,4,3,4,23,"F","",1,"","3","",1,"Christian/Catholic",68,4,3.25,4
"execr",25,4,4,4,4,3,5,4,5,5,5,4,5,5,5,5,4,5,5,4,4,5,4,5,4,19,"M","",1,"","4","",1,"Catholic ",100,3.75,4.75,1
"CCC",26,4,5,5,5,5,4,5,5,4,5,5,5,5,5,3,3,3,3,3,5,5,5,5,4,19,"M","",1,"","4","",1,"Pentecostal Christian ",55,5,4.5,1
"execr",27,4,4,4,4,4,4,3,4,5,3,4,3,3,4,4,4,3,3,4,4,3,2,5,3,18,"F","",1,"","7","",1,"Christian",54,4,4,3
"execr",28,4,3,3,4,3,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,5,4,5,4,19,"F","",1,"","2","",1,"Christianity",100,3.25,5,1
"execr",29,4,5,4,4,4,5,5,5,5,5,4,5,5,4,4,4,3,5,4,5,5,5,5,5,21,"F","",1,"","2,7","",1,"Protestant Christian",72,4.25,5,1
"execr",30,4,3,4,5,3,5,3,5,4,3,4,5,5,4,5,5,5,3,5,4,5,5,5,4,19,"F","",1,"","4,5","",1,"Baptist Christian ",100,3.75,4.25,3
"CCC",31,4,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,22,"F","",1,"","2","",2,"Sikh",54,3,4,2
"execr",32,4,4,3,3,4,4,4,5,4,4,5,4,4,4,4,3,5,4,4,3,3,3,4,5,20,"M","",1,"","2","",2,"Not religious",53,3.5,4.25,2
"CCC",33,4,4,3,4,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,22,"M","",1,"","7","",3,"agnostic",40,3.5,4.5,2
"execr",34,4,2,2,2,2,4,4,4,3,4,4,3,4,4,2,4,4,4,3,2,3,3,4,2,21,"F","Woman ",1,"","3,7","",2,"not religious",52,2,3.75,2
"CCC",35,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,"F","",1,"","4","",1,"Catholic ",100,4.5,5,1
"CCC",36,4,3,3,4,3,4,5,4,4,5,4,4,5,4,4,3,5,5,4,4,4,4,5,4,20,"M","",1,"","4","",1,"Catholic",92,3.25,4.25,1
"CCC",37,4,4,4,4,4,4,5,4,4,4,5,4,5,4,4,5,4,5,4,5,5,4,5,5,21,"F","",1,"","4","",1,"Evangelical Protestant",100,4,4.25,2
"execr",38,4,3,5,3,3,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,21,"F","",1,"","2","",2,"Catholic and Buddhist ",76,3.5,4.75,1
"execr",39,4,3,4,3,3,3,2,4,3,1,2,2,1,2,4,4,2,4,3,1,1,2,1,1,20,"F","",1,"","7","",1,"Lutherin",44,3.25,3,5
"execr",40,4,3,4,4,4,4,4,4,5,4,4,4,2,5,4,5,4,4,5,3,3,4,4,4,20,"M","",1,"","1,7","",2,"",39,3.75,4.25,2
"execr",41,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,20,"M","",1,"","4","",1,"Roman Catholic",100,4,4,3
"execr",42,4,3,4,4,3,4,4,5,4,5,4,5,5,4,4,4,4,4,4,5,5,5,4,4,19,"F","",1,"","4,7","",1,"",100,3.5,4.25,1
"Gen",43,4,5,3,2,4,5,3,3,5,3,5,5,5,4,5,5,4,4,5,3,5,5,4,5,21,"F","",1,"","3","",1,"Protestant ",100,3.5,4,3
"execr",44,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,20,"F","",1,"","3","",1,"Christian",91,4,4,3
"Gen",45,4,5,4,4,3,5,5,4,5,5,5,3,5,4,4,5,5,4,5,5,3,5,4,5,19,"F","",1,"","2","",1,"Catholic",37,4,4.75,1
"CCC",46,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,4,4,4,4,19,"M","",1,"","2","",1,"Catholic",50,3.25,3,3
"execr",47,4,4,3,4,4,4,5,4,5,5,2,4,4,4,5,4,4,4,4,4,5,5,5,5,20,"F","",1,"","4,7","",1,"",32,3.75,4.5,1
"CCC",48,4,5,4,4,4,4,5,4,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,18,"M","",1,"","2","",1,"",50,4.25,4.5,2
"CCC",49,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,19,"M","",1,"","2,7","",1,"Protestant ",57,3.75,4,2
"execr",50,4,4,4,4,3,5,5,5,5,5,5,5,4,5,2,3,2,3,3,5,5,5,5,5,22,"F","Female",1,"","4","",1,"Christianity",47,3.75,5,1
"execr",51,4,3,4,4,4,4,5,5,5,4,3,4,4,3,4,5,3,4,5,5,5,5,5,5,21,"F","Woman",1,"","7","",3,"Agnostic ",38,3.75,4.75,2
"CCC",52,4,4,4,4,4,5,4,5,5,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,20,"M","",1,"","7","",1,"Christian",69,4,4.75,2
"CCC",53,4,5,5,5,4,3,4,3,3,3,3,4,4,3,5,5,5,5,5,5,5,4,5,5,21,"M","",1,"","2","",2,"Catholic",48,4.75,3.25,3
"execr",54,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,"F","",1,"","4","",1,"Christian ",100,5,5,1
"execr",55,4,4,4,4,4,5,5,5,5,4,5,4,5,4,4,4,4,4,4,5,5,5,5,5,22,"F","Woman",1,"","7","",1,"Christian",100,4,5,2
"execr",56,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,18,"F","",1,"","3","",2,"Not religious ",16,4,4,2
"execr",57,4,2,3,3,3,5,5,5,5,4,4,5,5,4,3,3,3,4,4,4,3,3,4,4,19,"F","",1,"","3","",1,"Protestant Christian ",78,2.75,5,2
"execr",58,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,5,4,5,4,5,4,25,"F","",2,"Ecuador","4","",3,"non-religious",34,4.75,4.75,1
"execr",59,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,19,"F","",1,"","7","",3,"Agnostic maybe",14,5,5,1
"execr",60,4,4,4,4,3,3,4,4,3,3,4,4,4,2,3,3,3,3,3,4,5,4,5,4,21,"F","Woman- it was left off? ",1,"","3,7","",1,"",27,3.75,3.5,3
"execr",61,4,4,5,4,3,5,5,5,5,4,5,5,5,4,4,4,4,4,4,4,5,5,4,5,22,"F","",1,"","4","",1,"I am Catholic.",100,4,5,2
"execr",62,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,23,"F","",2,"Indonesia ","1,2,6","",1,"",94,4,5,2
"execr",63,4,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,4,3,4,4,4,21,"F","Female",1,"","4","",2,"Catholic",72,3,3.75,2
"CCC",64,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,5,4,4,4,22,"M","",1,"","4","",2,"Atheist ",90,4.25,4,2
"CCC",65,4,4,5,4,3,5,4,4,4,3,3,4,4,3,4,3,3,4,4,3,3,4,3,3,20,"M","",1,"","4","",2,"Atheist",69,4,4.25,3
"execr",66,4,4,4,5,4,4,4,4,4,3,4,4,3,4,4,4,3,4,4,5,5,4,5,5,21,"F","",1,"","4","",2,"catholic ",61,4.25,4,3
"Gen",67,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,21,"F","",1,"","7","",1,"Presbyterian ",84,5,5,1
"execr",68,4,2,5,1,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,21,"F","",1,"","4","",1,"Catholic",100,2.5,4.75,1
"execr",69,4,5,5,4,4,5,5,4,5,4,5,5,4,4,3,3,3,3,3,5,5,4,5,5,24,"M","",1,"","7","",1,"Protestant ",100,4.5,4.75,2
"Gen",70,4,4,3,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,18,"F","",1,"","2","",1,"",93,4,5,2
"execr",71,4,4,5,3,4,5,5,4,4,5,5,5,4,5,5,5,4,5,5,5,5,4,4,5,19,"F","",1,"","2,7","",1,"Seventh Day Adventist ",86,4,4.5,1
"execr",72,4,3,5,3,3,4,3,4,3,2,3,2,4,1,3,3,3,3,3,2,4,3,3,1,27,"M","",1,"","7","",2,"Agnostic ",22,3.5,3.5,4
"execr",73,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,25,"F","",1,"","7","",2,"agnostic",15,2,4,2
"execr",74,4,3,3,3,2,3,3,3,3,3,3,4,4,3,4,3,4,3,4,3,3,4,4,4,19,"F","",1,"","7","",1,"Practicing",55,2.75,3,3
"CCC",75,4,4,4,3,4,5,5,5,5,5,4,5,4,5,5,4,4,5,5,5,5,5,5,5,19,"M","",1,"","7","",1,"",46,3.75,5,1
"execr",76,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,21,"F","",2,"Colombia","4","",1,"",66,5,5,1
"execr",77,4,5,5,4,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4,4,5,20,"F","",1,"","2","",2,"Sikhism",100,4.75,4.5,2
"CCC",78,4,3,3,2,2,4,4,4,4,4,4,2,4,2,4,3,2,1,4,3,2,4,4,4,26,"F","",1,"","7","",3,"hopeful agnostic",34,2.5,4,2
"CCC",79,4,3,4,3,3,5,3,4,5,4,3,4,4,4,3,3,3,3,3,4,4,3,4,4,21,"F","",1,"","7","",1,"Orthodox Eastern",94,3.25,4.25,2
"Gen",80,4,5,5,5,5,4,4,4,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,19,"F","",1,"","7","",2,"not religious",62,5,4,1
"Gen",81,4,4,4,4,4,5,5,4,3,4,4,4,4,3,5,5,5,5,5,5,4,5,4,4,19,"F","",1,"","7","",2,"Not religious",100,4,4.25,2
"CCC",82,4,4,3,4,3,4,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,21,"M","",1,"","2","",2,"Not religioius ",2,3.5,3.5,2
"execr",83,4,4,4,4,4,4,4,3,3,4,4,4,4,4,2,3,3,4,4,4,4,5,5,4,23,"F","Female",1,"","4","",2,"not religious",54,4,3.5,2
"CCC",84,4,4,3,4,4,5,5,3,4,5,4,4,4,5,4,4,4,4,4,5,5,4,3,3,19,"M","",1,"","4","",1,"catholic",100,3.75,4.25,1
"execr",85,4,4,2,4,3,4,4,4,2,4,4,3,4,4,2,4,4,4,2,4,4,4,5,5,20,"F","",1,"","3","",1,"",98,3.25,3.5,2
"Gen",86,4,4,4,3,3,4,5,4,4,4,4,4,4,3,5,4,5,4,5,4,4,4,5,5,18,"M","",1,"","3","",1,"Catholic",100,3.5,4.25,2
"Gen",87,4,5,5,5,5,3,3,3,3,5,5,5,5,5,3,3,3,3,3,3,3,4,4,3,38,"F","",1,"","3","",1,"Christian ",100,5,3,1
"CCC",88,4,3,3,3,3,5,5,4,5,3,3,3,3,3,3,3,3,3,3,5,4,5,5,4,22,"M","",1,"","2","",1,"",93,3,4.75,3
"execr",89,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,21,"F","Woman",1,"","2","",1,"Presbyterian ",100,4.5,5,1
"execr",90,4,3,4,3,3,5,5,5,5,5,5,5,5,4,5,4,5,4,5,4,5,5,5,5,21,"F","",1,"","7","",2,"agnostic ",44,3.25,5,1
"execr",91,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,19,"F","",1,"","7","",1,"Pentecostal",100,4,4,2
"execr",92,4,3,4,4,3,5,5,5,5,3,3,4,4,3,3,3,3,3,3,5,5,5,5,5,23,"M","",1,"","7","",2,"Agnostic",0,3.5,5,3
"Gen",93,4,4,4,5,3,4,4,4,5,5,4,4,5,3,3,3,3,3,3,5,5,5,5,5,18,"F","",1,"","7","",2,"Agnostic",17,4,4.25,1
"execr",94,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,3,4,4,4,5,4,5,5,21,"M","",1,"","7","",1,"Christian",6,4,3.75,2
"CCC",95,4,4,4,4,3,5,5,5,5,3,4,4,4,4,3,3,3,3,3,3,4,5,4,3,19,"M","",1,"","2","",1,"",89,3.75,5,3
"Gen",96,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,18,"F","",1,"","4","",2,"Catholic",100,5,5,2
"execr",97,4,5,4,4,5,5,5,5,5,5,3,4,4,3,5,4,5,4,3,5,5,5,5,5,27,"F","",1,"","7","",2,"agnostic ",0,4.5,5,1
"Gen",98,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,21,"F","Female",1,"","2","",2,"Spiritual & Universal",82,4,3.75,2
"execr",99,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,"F","",1,"","4","",3,"Not in religion but I believe in God 100%",97,5,5,1
"CCC",100,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,21,"F","",1,"","4","",1,"Christian",100,3,4,2
"CCC",101,4,3,4,2,3,4,4,5,4,4,4,4,4,4,5,5,4,4,5,3,4,4,5,4,20,"M","",1,"","2","",3,"agnostic; still figuring it out",35,3,4.25,2
"CCC",102,4,5,4,4,3,5,5,5,5,4,5,5,5,4,4,3,3,5,4,5,5,5,5,5,21,"M","",1,"","7","",1,"Christian, Non denominational",100,4,5,2
"CCC",103,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,20,"M","",1,"","2","",1,"Evangelical",100,4,4,2
"execr",104,4,3,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,20,"F","",1,"","2,6","",2,"Agnostic",0,3.5,5,1
"Gen",105,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,4,4,4,4,3,4,4,4,3,19,"F","",1,"","4","",1,"Non-denominational",100,4,4,3
"execr",106,4,4,4,2,3,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,22,"F","Woman",1,"","7","",1,"Non denominational / Four square ",93,3.25,4,2
"CCC",107,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,5,5,5,5,5,21,"M","",1,"","7","",1,"Christian",66,4,4,2
"execr",108,4,4,3,4,3,5,5,5,5,5,4,4,5,4,3,3,3,3,3,4,4,4,4,4,28,"M","",1,"","7","",1,"christian",100,3.5,5,1
"execr",109,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,21,"F","",1,"","4","",3,"Christian",58,5,5,1
"execr",110,4,4,4,4,3,5,5,5,5,5,5,4,5,5,3,3,3,3,3,5,5,5,5,5,20,"F","Woman",1,"","7","",2,"atheist",50,3.75,5,1
"Gen",113,4,3,4,3,3,3,3,4,4,2,2,2,3,2,3,3,3,3,3,2,2,2,5,4,19,"F","",1,"","7","",1,"nondenominational",79,3.25,3.5,4
"CCC",114,4,4,3,3,4,3,4,3,4,3,4,4,2,2,2,2,2,2,2,4,4,4,2,4,20,"M","",1,"","2","",1,"",87,3.5,3.5,3
"CCC",115,4,5,5,4,5,5,4,5,5,4,5,4,5,4,4,5,5,4,4,5,4,5,4,4,21,"M","",1,"","7","",3,"Lutheran",0,4.75,4.75,2
"execr",116,4,5,5,5,4,5,5,5,5,4,5,5,4,4,3,3,3,3,3,4,5,5,4,4,19,"F","",1,"","3","",2,"Muslim",100,4.75,5,2
"CCC",117,4,2,3,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,23,"M","",1,"","4","",2,"not really religious but kind of involved ",16,3.25,4,2
"execr",118,4,3,2,3,2,3,4,2,4,3,3,4,3,2,2,2,2,3,2,3,5,3,4,4,21,"M","",1,"","4","",3,"Spiritual",60,2.5,3.25,3
"Gen",119,4,3,3,4,3,5,5,4,5,3,5,5,5,3,4,3,3,5,4,3,3,4,4,3,18,"F","",1,"","4","",2,"Catholic ",51,3.25,4.75,3
"CCC",120,4,3,3,3,3,5,5,4,5,4,4,2,4,4,3,4,4,3,3,4,4,4,4,4,21,"M","",1,"","2","",1,"",82,3,4.75,2
"Gen",121,4,3,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,3,3,3,3,21,"F","",1,"","2","",1,"",40,3.5,4,3
"execr",122,4,5,4,2,4,5,4,4,5,4,5,4,5,4,5,4,5,2,5,5,5,5,5,5,21,"F","Women",1,"","4","",1,"Catholic",98,3.75,4.5,2
"CCC",123,4,5,5,4,4,4,5,5,5,5,4,4,3,4,5,5,4,4,5,5,5,5,5,5,21,"M","",1,"","7","",2,"agnostic ",49,4.5,4.75,1
"CCC",124,4,4,4,4,4,5,5,5,5,4,5,5,5,5,3,3,3,3,4,5,4,4,4,4,22,"M","",1,"","7","",1,"",71,4,5,2
"execr",125,4,3,3,3,3,4,3,4,3,3,3,3,4,3,5,3,4,2,2,3,3,3,3,3,21,"F","Female ",1,"","3","",2,"Muslim",57,3,3.5,3
"CCC",126,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,"M","",1,"","4","",1,"Christian",84,5,5,1
"execr",127,4,5,5,5,5,4,5,5,5,4,4,4,4,4,3,3,3,3,3,5,5,5,5,5,20,"F","",1,"","3","",1,"Seventh day adventisit",91,5,4.75,2
"execr",128,4,4,3,4,3,5,5,5,5,3,4,5,4,4,3,4,4,3,3,4,4,5,4,5,21,"F","",1,"","1,7","",1,"Non-Denominational",100,3.5,5,3
"execr",129,4,3,5,3,4,4,4,4,5,5,4,4,4,3,4,5,5,4,4,4,5,5,4,4,21,"F","Woman",1,"","2","",2,"Atheist",50,3.75,4.25,1
"execr",130,4,4,4,5,3,4,5,4,4,4,4,4,5,4,4,3,3,3,4,5,5,4,5,5,20,"F","",1,"","2,7","",1,"nondenominational, evangelical",86,4,4.25,2
"execr",131,4,3,3,3,4,4,4,3,3,4,2,4,4,3,3,4,3,5,4,4,4,4,4,4,20,"F","",1,"","7","",1,"I am a Christian apart of the FourSquare denomination",100,3.25,3.5,2
"execr",132,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,4,5,5,21,"F","",1,"","7","",1,"non denominational",65,4.5,4,2
"CCC",133,4,4,5,5,5,4,5,5,4,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,23,"M","",1,"","3,4","",3,"agnostic",0,4.75,4.5,1
"Gen",134,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,3,4,4,4,5,19,"F","",1,"","7","",1,"Pentecostal",100,3.75,4,2
"execr",135,4,2,3,2,2,3,3,3,3,4,4,3,4,4,3,3,3,3,3,3,3,4,3,2,20,"M","",1,"","7","",3,"Non practicing christian",34,2.25,3,2
"execr",136,4,4,4,4,3,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,3,21,"F","Woman",1,"","3","",2,"Atheist",NA,3.75,4,3
"execr",137,4,3,4,4,5,5,4,5,5,4,5,5,5,4,5,4,5,5,5,4,5,5,5,5,21,"F","Woman",1,"","3","",2,"Atheist",NA,4,4.75,2
"CCC",138,4,4,3,3,3,5,3,4,4,3,4,5,4,4,5,4,4,4,5,4,4,4,5,5,24,"M","",1,"","2","",2,"",56,3.25,4,3
"Gen",139,4,4,5,4,4,5,5,4,5,4,4,5,5,4,4,4,4,4,4,4,5,4,4,5,19,"M","",1,"","2,3","",1,"Non-Denominational",100,4.25,4.75,2
"execr",140,4,5,5,4,5,5,4,4,4,4,4,3,4,4,4,5,5,5,5,5,5,4,5,5,18,"F","woman",1,"","7","",1,"Christian",80,4.75,4.25,2
"execr",141,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,21,"M","",1,"","7","",1,"",61,4,4,2
"CCC",142,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,5,5,5,5,4,21,"M","",1,"","2,8","Micronesian",1,"Nondenominational Christian",82,4,4,1
"Gen",143,4,4,5,3,4,5,5,4,5,5,4,5,4,5,4,3,4,3,4,4,4,4,5,5,18,"Trans","",1,"","4,7","",2,"none",0,4,4.75,1
"CCC",144,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,4,4,18,"M","",1,"","4","",2,"Catholic",49,5,5,1
"execr",145,4,3,4,3,3,5,4,4,5,5,4,5,5,3,3,4,3,3,4,4,4,4,5,3,22,"F","",1,"","7","",3,"Vaguely spiritual",20,3.25,4.5,1
"Gen",146,4,4,4,4,4,5,5,5,5,4,4,5,5,4,4,4,4,4,5,4,5,5,5,5,19,"M","",1,"","7","",1,"Protestant",78,4,5,2
"execr",147,4,3,4,4,3,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,21,"F","",1,"","7","",1,"Christian ",72,3.5,4,2
"execr",148,4,4,3,4,4,5,5,5,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,18,"F","",1,"","4,7","",3,"",18,3.75,5,2
"execr",149,4,4,4,5,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,4,4,23,"F","Woman",1,"","7","",3,"Christian loosely ",44,4.25,5,1
"execr",150,4,4,2,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,3,4,21,"F","",1,"","4","",2,"catholic",100,3.5,4,2
"execr",151,4,4,4,4,4,4,5,5,4,5,5,2,5,5,5,4,4,4,5,5,5,5,5,5,20,"F","women ",1,"","4","",2,"catholic ",62,4,4.5,1
"CCC",152,4,4,4,5,4,5,5,4,4,4,4,4,5,5,4,5,4,4,5,4,4,5,4,4,20,"Prefer not to say","",1,"","7","",1,"Episcopalian/Anglo-Catholic",91,4.25,4.5,2
"CCC",153,4,4,4,4,3,5,5,4,5,4,3,4,5,4,3,3,3,3,3,4,4,4,4,4,20,"M","",1,"","4","",1,"Catholic",42,3.75,4.75,2
"CCC",154,4,3,3,3,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,18,"M","",1,"","7","",1,"",100,3,4.25,2
"execr",155,4,3,4,4,4,5,5,5,5,4,5,5,5,4,5,4,4,4,5,5,5,5,5,5,20,"F","Woman",1,"","2","",1,"Christian",66,3.75,5,2
"execr",156,4,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,21,"F","",1,"","7","",1,"Christian ",74,1,1.75,5
