,Pnum,Consent,CCC_students_1,CCC_students_2,CCC_students_3,CCC_students_4,CCC_Profs_1,CCC_Profs_2,CCC_Profs_3,CCC_Profs_4,CCC_Courses_2,CCC_Courses_3,CCC_Courses_4,CCC_Courses_5,CCC_Courses_7,CCC_ExtraCur_1,CCC_ExtraCur_2,CCC_ExtraCur_3,CCC_ExtraCur_5,CCC_ExtraCur_6,CCC_PersExp_1,CCC_PersExp_3,CCC_PersExp_4,CCC_PersExp_5,CCC_PersExp_7,Age,Gender,Gender txt,International,Country Origin,Race/Ethnicity,RE Rep,Christian,Religion,Rel_Identity
Gen,113,4,3,4,3,3,3,3,4,4,2,2,2,3,2,3,3,3,3,3,2,2,2,5,4,19,F,,1,,7,,1,nondenominational,79
CCC,114,4,4,3,3,4,3,4,3,4,3,4,4,2,2,2,2,2,2,2,4,4,4,2,4,20,8,,1,,2,,1,,87
CCC,115,4,5,5,4,5,5,4,5,5,4,5,4,5,4,4,5,5,4,4,5,4,5,4,4,21,8,,1,,7,,3,Lutheran,0
execr,116,4,5,5,5,4,5,5,5,5,4,5,5,4,4,3,3,3,3,3,4,5,5,4,4,19,F,,1,,3,,2,Muslim,100
CCC,117,4,2,3,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,23,8,,1,,4,,2,not really religious but kind of involved ,16
execr,118,4,3,2,3,2,3,4,2,4,3,3,4,3,2,2,2,2,3,2,3,5,3,4,4,21,M,,1,,4,,3,Spiritual,60
Gen,119,4,3,3,4,3,5,5,4,5,3,5,5,5,3,4,3,3,5,4,3,3,4,4,3,18,F,,1,,4,,2,Catholic ,51
CCC,120,4,3,3,3,3,5,5,4,5,4,4,2,4,4,3,4,4,3,3,4,4,4,4,4,21,8,,1,,2,,1,,82
Gen,121,4,3,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,3,3,3,3,21,F,,1,,2,,1,,40
execr,122,4,5,4,2,4,5,4,4,5,4,5,4,5,4,5,4,5,2,5,5,5,5,5,5,21,F,Women,1,,4,,1,Catholic,98
CCC,123,4,5,5,4,4,4,5,5,5,5,4,4,3,4,5,5,4,4,5,5,5,5,5,5,21,8,,1,,7,,2,agnostic ,49
CCC,124,4,4,4,4,4,5,5,5,5,4,5,5,5,5,3,3,3,3,4,5,4,4,4,4,22,8,,1,,7,,1,,71
execr,125,4,3,3,3,3,4,3,4,3,3,3,3,4,3,5,3,4,2,2,3,3,3,3,3,21,F,Female ,1,,3,,2,Muslim,57
CCC,126,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,8,,1,,4,,1,Christian,84
execr,127,4,5,5,5,5,4,5,5,5,4,4,4,4,4,3,3,3,3,3,5,5,5,5,5,20,F,,1,,3,,1,Seventh day adventisit,91
